S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2,Engagement Rate,High Engagement,Primary Category,Subscriber Tier,Subscribers_scaled,Authentic engagement_scaled,Engagement average_scaled
174,na.jaemin0813,JAEMIN,10000000.0,indonesia,1800000.0,2200000.0,unknown,unknown,18.0,1,unknown,Mid,0.01487057095648981,0.14173228346456693,0.17099591024649055
175,paulpogba,Paul Labile Pogba,55300000.0,brazil,218300.0,388600.0,sports with a ball,unknown,0.394755877034358,0,sports with a ball,Mega,0.09803561593537727,0.017188976377952758,0.02798086184844226
176,zkdlin,KAI,14200000.0,indonesia,1200000.0,1500000.0,unknown,unknown,8.450704225352112,1,unknown,Mid,0.022581237378373416,0.09448818897637795,0.11572897092958992
177,sabrinacarpenter,Sabrina Carpenter,27700000.0,brazil,631400.0,775400.0,unknown,unknown,2.27942238267148,1,unknown,Mid,0.04736552230585644,0.04971653543307086,0.058519793459552494
178,nehakakkar,Neha Kakkar (Mrs. Singh),70800000.0,india,259100.00000000003,302500.0,unknown,unknown,0.3659604519774012,0,unknown,Mega,0.12649164677804295,0.020401574803149608,0.021183028312463485
179,lanarhoades,Lana Rhoades,16600000.000000002,united states,771400.0,1300000.0,lifestyle,modeling,4.646987951807229,1,lifestyle,Mid,0.026987332476592622,0.06074015748031496,0.09993841683904688
180,jannatzubair29,Jannat Zubair Rahmani,44100000.0,india,386700.0,471200.0,cinema & actors/actresses,unknown,0.8768707482993198,0,cinema & actors/actresses,Mid,0.07747383881035433,0.030448818897637796,0.034502360687836534
181,emmawatson,Emma Watson,67500000.0,united states,224300.0,306200.0,literature & journalism,cinema & actors/actresses,0.3322962962962963,0,literature & journalism,Mega,0.12043326601799155,0.017661417322834647,0.02147515356313853
182,domelipa,domelipa,19800000.0,mexico,850500.0,1000000.0,lifestyle,unknown,4.295454545454545,1,lifestyle,Mid,0.03286212594088489,0.06696850393700787,0.07625258570323233
183,bbrightvc,bright,16100000.000000002,indonesia,1000000.0,1300000.0,cinema & actors/actresses,unknown,6.211180124223602,1,cinema & actors/actresses,Mid,0.026069395997796955,0.07874015748031496,0.09993841683904688
184,erling.haaland,Erling Braut Haaland,18300000.0,brazil,722600.0,1100000.0,lifestyle,sports with a ball,3.9486338797814207,1,lifestyle,Mid,0.030108316504497887,0.05689763779527559,0.08414786274850385
185,strangerthingstv,Stranger Things Netflix,22600000.0,brazil,649800.0,869600.0,cinema & actors/actresses,shows,2.875221238938053,1,cinema & actors/actresses,Mid,0.038002570222140625,0.05116535433070866,0.06595714443619827
186,bambam1a,BamBam,16700000.0,brazil,917300.0,1200000.0,unknown,unknown,5.492814371257485,1,unknown,Mid,0.027170919772351754,0.07222834645669292,0.09204313979377536
187,vancityreynolds,Ryan Reynolds,45100000.0,united states,323400.0,425500.0,cinema & actors/actresses,unknown,0.7170731707317074,0,cinema & actors/actresses,Mid,0.07930971176794566,0.025464566929133858,0.03089421907814745
188,nina,Nina Dobrev,25900000.0,brazil,512900.0,735400.0,cinema & actors/actresses,unknown,1.9803088803088804,0,cinema & actors/actresses,Mid,0.04406095098219203,0.040385826771653546,0.055361682641443886
189,iambeckyg,Becky G,33500000.0,mexico,470300.0,566800.0,unknown,unknown,1.4038805970149255,0,unknown,Mid,0.05801358545988618,0.03703149606299213,0.04205024554311611
190,onyourm__ark,Mark,9300000.0,indonesia,1700000.0,2100000.0,lifestyle,unknown,18.27956989247312,1,lifestyle,Micro,0.013585459886175877,0.13385826771653545,0.16310063320121904
191,daddyyankee,Daddy Yankee,46000000.0,argentina,296900.0,414000.0,unknown,unknown,0.6454347826086957,0,unknown,Mid,0.08096199742977786,0.023377952755905512,0.029986262217941227
192,jamesrodriguez10,James Rodríguez,49900000.0,colombia,250000.0,380500.0,sports with a ball,unknown,0.501002004008016,0,sports with a ball,Mid,0.08812190196438406,0.01968503937007874,0.02734134440777527
