S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2
260,yellow_3to3,REN JUN,6300000.0,indonesia,1600000.0,2000000.0,lifestyle,unknown
261,lilyjcollins,Lily Collins,26900000.0,united states,300900.0,448000.0,cinema & actors/actresses,unknown
262,luissuarez9,Luis Suárez,44300000.0,brazil,179900.0,269700.0,sports with a ball,unknown
263,realbarbarapalvin,Barbara Palvin,18200000.0,russia,483400.0,652300.0,modeling,fashion
264,johnnyjsuh,Johnny Suh,8800000.0,indonesia,1000000.0,1400000.0,lifestyle,unknown
265,lizgillz,Elizabeth Gillies,14100000.0,mexico,578900.0,838100.0,cinema & actors/actresses,unknown
266,fedez,FEDEZ,14400000.0,italy,593000.0,820400.0,unknown,unknown
267,keniaos,Kenia Os,13900000.0,mexico,655100.0,851800.0,unknown,unknown
268,liluzivert,Lil Uzi Vert,16399999.999999998,united states,392800.0,722900.0,unknown,unknown
269,_zyozyo,JIHYO,6700000.0,indonesia,1400000.0,1800000.0,lifestyle,unknown
270,heybiblee,이성경,14500000.0,indonesia,598200.0,807600.0,modeling,unknown
271,thehughjackman,thehughjackman,30500000.0,united states,338100.0,384400.0,cinema & actors/actresses,unknown
272,marvel,Marvel Entertainment,66400000.00000001,united states,148000.0,175500.0,cinema & actors/actresses,shows
273,nicki.nicole,nicki.nicole,12500000.0,argentina,630000.0,931600.0,unknown,unknown
274,yoona__lim,yoona__lim,13900000.0,indonesia,700100.0,837600.0,cinema & actors/actresses,unknown
275,ananyapanday,Ananya 💛💫,23700000.0,india,419700.0,490200.0,cinema & actors/actresses,unknown
276,pubity,Pubity,31800000.0,united states,249300.0,364500.0,humor & fun & happiness,unknown
277,mr_faisu_07,FAISAL SHAIKH,28300000.0,india,322900.0,411800.0,modeling,cinema & actors/actresses
278,marshmello,marshmello,29500000.0,united states,267100.0,385900.0,unknown,unknown
279,tigerjackieshroff,Tiger Shroff,35600000.0,india,263700.0,321300.0,cinema & actors/actresses,unknown
280,_imyour_joy,Joy,14200000.0,indonesia,670100.0,801000.0,lifestyle,unknown
281,iansomerhalder,iansomerhalder,23400000.0,united states,326200.0,487600.0,cinema & actors/actresses,unknown
282,trippieredd,555,13100000.0,united states,443100.0,868900.0,unknown,unknown
283,sachintendulkar,Sachin Tendulkar,35600000.0,india,264200.0,316700.0,sports with a ball,lifestyle
284,perrieedwards,Perrie Edwards 🖤,15900000.0,brazil,456600.0,712500.0,modeling,unknown
285,ashishchanchlani,Ashish Chanchlani,14600000.0,india,621800.0,760300.0,cinema & actors/actresses,unknown
286,iammichelemorroneofficial,Michele Morrone,15300000.0,brazil,498400.0,714900.0,lifestyle,cinema & actors/actresses
287,dannapaola,Danna Paola,34800000.0,mexico,216100.0,313300.0,unknown,unknown
288,bhuvan.bam22,Bhuvan Bam,14800000.0,india,594900.0,736500.0,cinema & actors/actresses,unknown
289,cbum,Chris Bumstead,10100000.0,united states,646300.0,1100000.0,fitness & gym,unknown
290,psg,Paris Saint-Germain,62400000.0,brazil,103200.0,172200.0,sports with a ball,unknown
291,mina_sr_my,미나 (MINA),6600000.0,indonesia,1400000.0,1700000.0,unknown,unknown
292,marvelstudios,Marvel Studios,38300000.0,india,249500.0,279600.0,cinema & actors/actresses,unknown
293,tenlee_1001,TEN_+•10,9900000.0,indonesia,860900.0,1100000.0,unknown,unknown
294,mirella,BAD MI ⚡️ MIRELLA,27000000.0,brazil,188100.0,396400.0,unknown,unknown
295,greeicy,Greeicy,21400000.0,colombia,371700.0,498800.0,shows,cinema & actors/actresses
296,winmetawin,Win Metawin O.,14100000.0,philippines,673600.0,761700.0,lifestyle,unknown
297,anuel,“REAL HASTA LA MUERTE”,29400000.0,spain,239800.0,366500.0,unknown,unknown
298,mont.pantoja,MONT,12400000.0,mexico,717700.0,853800.0,unknown,unknown
299,alidaei,Ali Daei,9100000.0,iran,722800.0,1200000.0,sports with a ball,unknown
300,jheneaiko,Jhené Aiko Efuru Chilombo 🔮,15000000.0,united states,399500.0,700700.0,unknown,unknown
301,urvashirautela,Urvashi Rautela,54200000.0,india,164400.0,194400.0,cinema & actors/actresses,unknown
302,imsebastianstan,Sebastian Stan,9400000.0,united states,941300.0,1100000.0,shows,cinema & actors/actresses
303,larasilva,Lara Silva ⚠️,17400000.0,brazil,386600.0,596800.0,shows,adult content
304,brunamarquezine,Bruna Marquezine,43100000.0,brazil,139500.0,242000.0,cinema & actors/actresses,unknown
305,manurios,Manu Rios,11000000.0,mexico,553300.0,933000.0,shows,unknown
306,nct127,NCT 127 Official Instagram,14300000.0,indonesia,582800.0,720400.0,unknown,unknown
307,ross_lynch,Ross Shor Lynch,10900000.0,united states,468500.0,935600.0,cinema & actors/actresses,unknown
